SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,528.68,1.77,122.04,2.0,6.0,8.0,0
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,426.56,4.13,44.27,1.0,4.0,7.0,0
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,238.29,3.12,44.89,2.0,1.0,1.0,0
Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,310.35,3.14,82.19,3.0,2.0,4.0,0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1,396.47,3.09,77.23,3.0,3.0,5.0,0
c1ccc(C2CC2)c(OCC2=NCCN2)c1,216.28,1.94,33.62,1.0,3.0,4.0,0
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,300.44,4.97,37.3,1.0,2.0,4.0,0
c1ccc(NCC2=NCCN2)cc1,175.24,1.1,36.42,2.0,3.0,3.0,0
Oc1ccc2ccccc2c1,144.17,2.55,20.23,1.0,1.0,0.0,0
CCOC(C)=O,88.11,0.57,26.3,0.0,2.0,1.0,0
O=C(O)C(Cl)Cl,128.94,0.87,37.3,1.0,1.0,1.0,0
COc1cc(C=O)ccc1O,152.15,1.21,46.53,1.0,3.0,2.0,0
O=C(O)c1ccccc1,122.12,1.38,37.3,1.0,1.0,1.0,0
Nc1ccc(C(=O)O)cc1,137.14,0.97,63.32,2.0,2.0,1.0,0
CC(C)(C)N,73.14,0.74,26.02,1.0,1.0,0.0,0
CC(C)=O,58.08,0.6,17.07,0.0,1.0,0.0,0
Nc1ncnc(Nc2ccccc2)n1,187.21,1.2,76.72,2.0,5.0,2.0,0
O=C(O)C(Cl)(Cl)Cl,163.39,1.44,37.3,1.0,1.0,0.0,0
CCCCO,74.12,0.78,20.23,1.0,1.0,2.0,0
CCCC(=O)O,88.11,0.87,37.3,1.0,1.0,2.0,0
CCC(=O)O,74.08,0.48,37.3,1.0,1.0,1.0,0
COc1ccccc1O,124.14,1.4,29.46,1.0,2.0,1.0,0
COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],262.23,-0.2,104.57,1.0,5.0,2.0,0
CCCO,60.1,0.39,20.23,1.0,1.0,1.0,0
CO,32.04,-0.39,20.23,1.0,1.0,0.0,0
C[n+]1ccccc1C=NO.[I-],137.16,0.32,36.47,1.0,2.0,1.0,0
CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@@H]1C,261.37,2.81,29.54,0.0,3.0,3.0,0
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,354.46,3.2,87.89,3.0,7.0,8.0,0
